% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 6 2020, 13:53
% Table:              Probe Table 1 - 
% Time (s)                                        Three Layer force, x component (N)                Economic force, x component (N)                   Two Layer force, x component (N)                  One Layer force, x component (N)                  Economic force 14 tooth, x component (N)
0.02198866006681036                               -5.725780262563898                                -5.561510753551184                                -1.4460076137437474                               -0.3120730423581125                               -3.4045141859500383
0.022473847717725086                              -5.771006282087603                                -5.40944157889691                                 -1.4428707381377963                               -0.3286743861652378                               -3.390212421048286
0.02271644154318245                               -5.7958924122118365                               -5.335125907965965                                -1.4538344186504708                               -0.344064748360834                                -3.384244003540519
0.023201629194097177                              -5.838802997695908                                -5.175176474419377                                -1.5003770738005018                               -0.3813265898984554                               -3.3715997994557805
0.02417200449592663                               -5.897604988112099                                -4.8329114539524864                               -1.6863443297183907                               -0.4895405517224882                               -3.350404422826015
0.025142379797756083                              -5.941577879061084                                -4.508409499324389                                -1.9822341686993046                               -0.6476491160213781                               -3.3564693848803113
0.026112755099585536                              -5.967360164685591                                -4.2163427234907545                               -2.371681461492155                                -0.8434387238264978                               -3.3861480640046424
0.02708313040141499                               -5.9720793617154255                               -3.9714749310398463                               -2.8320179525641342                               -1.0644071353929108                               -3.441678071767484
0.02805350570324444                               -5.953940550131761                                -3.786591719847021                                -3.3356077489413187                               -1.2969552208359891                               -3.506882674976386
0.029994256306903347                              -5.783129537978129                                -3.5823996776783185                               -4.309174056729023                                -1.7017348147471887                               -3.617273157587441
0.030479443957818073                              -5.771837348655043                                -3.610087926822133                                -4.551292743256567                                -1.815276612459428                                -3.6686650328776307
0.03144981925964753                               -5.69143653605025                                 -3.6951661463408123                               -4.9706132091755                                  -1.983144122406007                                -3.7486383688818443
0.03242019456147698                               -5.598793297264623                                -3.8504362820069367                               -5.304504321109112                                -2.1054064842996203                               -3.8079449225523505
0.03254149147420567                               -5.59593050548925                                 -3.8801541870037326                               -5.345104978189614                                -2.1221189025292166                               -3.831504999141242
0.032602139930570005                              -5.594471745233531                                -3.8955107269572933                               -5.36485712310747                                 -2.130216822869651                                -3.839312217325489
0.03272343684329869                               -5.589423302936431                                -3.926139385648297                                -5.402195566401483                                -2.1447400059627233                               -3.8535778800869913
0.03296603066875605                               -5.573568512651987                                -3.9873903559831887                               -5.4691502040569295                               -2.168159077377182                                -3.8706274994486
0.03345121831967078                               -5.529028327953036                                -4.111602663804572                                -5.573255062686829                                -2.197675404741443                                -3.894721979168705
0.034421593621500234                              -5.415542357728861                                -4.371722510236057                                -5.664464653391252                                -2.200621206657193                                -3.9195535852271965
0.03636234422515914                               -5.163173214466286                                -4.918528619212491                                -5.403080883742465                                -2.013333568678594                                -3.8902528512919443
0.03810901976845216                               -5.028983424598591                                -5.438367778364548                                -4.806351516972035                                -1.695617747678496                                -3.8311352284510813
0.039855695311745175                              -4.984049279257536                                -5.858423992075                                   -3.967351590107468                                -1.288129128634037                                -3.7353687072793584
0.04160237085503819                               -5.030853644651466                                -6.093370003992152                                -3.037437223038116                                -0.864987217698895                                -3.616049215940225
0.04334904639833121                               -5.156047754416901                                -6.0954050697359845                               -2.1874282156173788                               -0.5034268825990151                               -3.4900011120249768
0.04509572194162423                               -5.333503585385836                                -5.862641253089974                                -1.575539715455589                                -0.26999248995195435                              -3.379311046102363
0.046842397484917246                              -5.528556222060874                                -5.438685454935517                                -1.3165094219097218                               -0.20783333198795814                              -3.3034212381480375
0.048589073028210264                              -5.7039397904233144                               -4.903857263694378                                -1.4591134895687174                               -0.32826128021632184                              -3.2721440493104867
0.05033574857150328                               -5.826444613647154                                -4.359661689339475                                -1.9764549925342767                               -0.6083800608251795                               -3.3029203195144756
0.05077241745732654                               -5.877762952591941                                -4.263787441463993                                -2.161950022337375                                -0.7177651395014466                               -3.3354666286161403
0.05164575522897304                               -5.931623976088566                                -4.059494322002029                                -2.5761219287429125                               -0.9247190269234312                               -3.398986055660186
0.0520824241147963                                -5.960863658102859                                -3.979236680117602                                -2.805789771424869                                -1.0412818509757895                               -3.4396523703582726
0.052955761886442805                              -5.969833861774477                                -3.8267576078485552                               -3.278878239636811                                -1.259833020600235                                -3.51251018386921
0.05470243742973582                               -5.852742465100189                                -3.633865584546815                                -4.193896943563521                                -1.6492117031559592                               -3.6290919982936187
0.05644911297302884                               -5.678058155376915                                -3.693451679342504                                -4.964001645071273                                -1.9634407493262205                               -3.747922376953073
0.05819578851632186                               -5.472797532851028                                -3.986161469053139                                -5.4543692137591675                               -2.136192653430181                                -3.840753214127929
0.059942464059614876                              -5.269837052157336                                -4.450783228385608                                -5.572254602551719                                -2.133180744698322                                -3.8896202012960432
0.061689139602907894                              -5.1025928509436485                               -4.995162385962776                                -5.2927062626899                                  -1.953792146518087                                -3.88480344017477
0.0634358151462009                                -4.9992576466817775                               -5.513427137858876                                -4.666389801847425                                -1.6310198752711247                               -3.827206733638838
0.06518249068949392                               -4.977146747558971                                -5.905608813961579                                -3.810489176309985                                -1.225283907096899                                -3.724448070001587
0.06692916623278693                               -5.038975311511512                                -6.096225561394471                                -2.886311323966588                                -0.812929580411911                                -3.5961475765299356
0.06867584177607994                               -5.261480059074389                                -6.157511671882643                                -2.126622919178715                                -0.4980583508266506                               -3.5290899240592144
0.07042251731937295                               -5.546526060786911                                -5.973790441830561                                -1.6314754278646466                               -0.32836650195350187                              -3.491381356692032
0.0708591862051962                                -5.6119959962866774                               -5.887310026139567                                -1.5484378881525998                               -0.3087487562825799                               -3.4681978942077456
0.07173252397684271                               -5.733414084622869                                -5.674929458707863                                -1.4524648537443394                               -0.3008500372628885                               -3.4414571492804185
0.07347919952013572                               -5.957526264464801                                -5.162828284569136                                -1.5831208860582404                               -0.4298848450500142                               -3.430122092231684
0.07391586840595897                               -5.9967918743695945                               -5.01985374141654                                 -1.6694158267799957                               -0.48526272388754127                              -3.415724423232718
0.07478920617760548                               -6.0611423887995715                               -4.736703276841004                                -1.9120043025656692                               -0.6245759198589006                               -3.422303147519579
0.07522587506342873                               -6.084732621633011                                -4.5989001447127285                               -2.063870051585075                                -0.7061739813827069                               -3.4376865368819005
0.07609921283507524                               -6.1201572439073475                               -4.343870265876591                                -2.4267088640152195                               -0.8922571005890401                               -3.4614493810661022
0.07610006570399287                               -6.120182251013876                                -4.343635764726231                                -2.4270961140674845                               -0.8924502321931752                               -3.4683069342636177
0.07610177144182811                               -6.120231575075393                                -4.343166291883632                                -2.427869868501108                                -0.892836037600297                                -3.4724948462346217
0.07610484176993156                               -6.120318486918369                                -4.342320131782687                                -2.4292612224289543                               -0.8935295638755091                               -3.47249411436958
0.076107912098035                                 -6.12040502182859                                 -4.341474282573767                                -2.4306526142069056                               -0.8942232590848497                               -3.4725780643424082
0.07611405275424189                               -6.12057394699387                                 -4.339781107389498                                -2.4334342653085046                               -0.8956090498395227                               -3.4732381486131407
0.07612633406665567                               -6.120897995437999                                -4.3363917320180265                               -2.4389965475463873                               -0.898376750040575                                -3.4741928961088444
0.07615089669148323                               -6.121495625058657                                -4.329605597854011                                -2.450127885657701                                -0.9038986450960393                               -3.4773044826218027
0.07620002194113834                               -6.122513236304347                                -4.316023772290239                                -2.4724578295011734                               -0.9149041419879996                               -3.483655986373202
0.07629827244044857                               -6.1239453350207045                               -4.288904107221411                                -2.517506024923027                                -0.9368388216852431                               -3.489667244084588
0.07649477343906903                               -6.124814440399741                                -4.23519422949421                                 -2.6093767091690596                               -0.9807054496818309                               -3.4989442171395484
0.07688777543630997                               -6.119989093066801                                -4.131430082501384                                -2.799798223318685                                -1.06921139889915                                 -3.5117262883778757
0.07767377943079182                               -6.088214601611957                                -3.9453446646469                                  -3.199119405326968                                -1.2486023674140534                               -3.542721917515185
0.07924578741975553                               -5.949620369711047                                -3.689853740701559                                -4.0041039512353835                               -1.5916382243978666                               -3.6233158803175285
0.08081779540871925                               -5.779120927960041                                -3.654965222122051                                -4.73327084739226                                 -1.8927462044509136                               -3.72243147061842
0.08396181138664668                               -5.260622768170078                                -4.068595651261429                                -5.431499351755176                                -2.0932454208228974                               -3.7922571655005513
0.08677365003610193                               -4.9370601893251225                               -4.881347651584429                                -5.085329813531703                                -1.8458992726153038                               -3.775126092124137
0.08958548868555719                               -4.808649847096424                                -5.634314494121488                                -3.9282056632092246                               -1.2699710359540863                               -3.6452330012210505
0.09239732733501244                               -4.903842069082347                                -5.945665632566066                                -2.4842116866864687                               -0.6238656197577731                               -3.4449933116407587
0.09492798211952216                               -5.155254050835526                                -5.738215537042623                                -1.5149823938827511                               -0.2361976585351448                               -3.2889852373184834
0.09745863690403189                               -5.441499581836613                                -5.118106498537522                                -1.2420952519669215                               -0.185214541307274                                -3.199242982623954
0.09998929168854162                               -5.655773872041344                                -4.338750282453555                                -1.7775021596954725                               -0.4906561758645286                               -3.214400934969921
0.10250000000000002                               -5.721862899617721                                -3.7159816449394953                               -2.9080484693918534                               -1.0307025086737471                               -3.343765865016194
0.10312500000000002                               -5.779597493104475                                -3.66593965736569                                 -3.264603284654331                                -1.220539718502925                                -3.4108825021094966
0.10437500000000002                               -5.779733740650686                                -3.584855308152916                                -3.9611488986898227                               -1.533276124721369                                -3.5388222389121613
0.10562500000000002                               -5.7265353508675565                               -3.612634244144419                                -4.601505001936135                                -1.8069277873720702                               -3.6817209605111807
0.10812500000000003                               -5.406586035395428                                -3.918979351571079                                -5.382417797272125                                -2.0801022823918713                               -3.7982077086557147
0.11062500000000003                               -5.101434470619106                                -4.5830397631963615                               -5.410059164935631                                -2.015368835999775                                -3.8325266864498184
0.11312500000000003                               -4.904560868388068                                -5.332620965890623                                -4.68066999318281                                 -1.6260970093024059                               -3.7658979262620544
0.11562500000000003                               -4.873781595039599                                -5.867866039903904                                -3.460531716961505                                -1.0543156139982288                               -3.6154116939295204
0.11812500000000004                               -5.009982115861452                                -5.976577780420459                                -2.2055556069882853                               -0.5129946145290618                               -3.430242883741957
